year,employment_size,computer_usage
2012,below 10 employees,82
2012,between 10 to 199 employees,94
2012,200 or more employees,100
2013,below 10 employees,84
2013,between 10 to 199 employees,96
2013,200 or more employees,100
2014,below 10 employees,85
2014,between 10 to 199 employees,98
2014,200 or more employees,100
2015,below 10 employees,87
2015,between 10 to 199 employees,98
2015,200 or more employees,100
2016,below 10 employees,88
2016,between 10 to 199 employees,97
2016,200 or more employees,100
